Date,Country,City,Specie,count,min,max,median,variance
01-02-2021,IN,New Delhi,temperature,24,8.5,25,17.5,365.92
13-03-2021,IN,New Delhi,temperature,24,17.5,30,23.5,186.01
31-01-2021,IN,New Delhi,temperature,24,8,20.5,12.5,223.26
02-03-2021,IN,New Delhi,temperature,24,13,28.5,21.5,270.63
20-03-2021,IN,New Delhi,temperature,24,18,32,24,233.48
24-02-2021,IN,New Delhi,temperature,24,14,30.5,20,341.3
21-04-2021,IN,New Delhi,temperature,24,20,31,25.5,135.22
23-01-2021,IN,New Delhi,temperature,23,9,18,13.5,115.37
17-03-2021,IN,New Delhi,temperature,24,18,33,26,275.54
18-03-2021,IN,New Delhi,temperature,23,21,33.5,24.5,212.8
30-03-2021,IN,New Delhi,temperature,24,22.5,37,29,259.63
07-04-2021,IN,New Delhi,temperature,24,24,36,29.5,146.96
06-03-2021,IN,New Delhi,temperature,24,16,31,20.5,297.02
27-02-2021,IN,New Delhi,temperature,24,19.5,31.5,23,170.63
31-03-2021,IN,New Delhi,temperature,24,21,34,26,206.59
22-04-2021,IN,New Delhi,temperature,24,21.5,33,27.5,135.05
19-02-2021,IN,New Delhi,temperature,24,11,26,17,272.24
13-01-2021,IN,New Delhi,temperature,12,8,16,12,65
15-01-2021,IN,New Delhi,temperature,24,9,21,11.5,169.34
21-01-2021,IN,New Delhi,temperature,17,10,23,15.5,220.15
15-03-2021,IN,New Delhi,temperature,24,17,31,24,219.63
12-01-2021,IN,New Delhi,temperature,21,6.5,15.5,9.5,91.15
26-01-2021,IN,New Delhi,temperature,24,7,19,11,193.46
14-02-2021,IN,New Delhi,temperature,24,10,28,16,393.36
01-03-2021,IN,New Delhi,temperature,24,13.5,28.5,19,246.81
01-01-2021,IN,New Delhi,temperature,24,5,18,10.5,184.06
08-01-2021,IN,New Delhi,temperature,24,12,15,13,16.3
16-01-2021,IN,New Delhi,temperature,22,8,16,10,41.98
20-02-2021,IN,New Delhi,temperature,24,12,25.5,17,213.47
30-12-2020,IN,New Delhi,temperature,24,5,15,10,112.37
05-02-2021,IN,New Delhi,temperature,24,9,21,13.5,138.84
17-02-2021,IN,New Delhi,temperature,12,12,27,24.5,291.59
15-04-2021,IN,New Delhi,temperature,24,25,39,30,253.97
28-12-2020,IN,New Delhi,temperature,24,8,18.5,12,109.99
01-04-2021,IN,New Delhi,temperature,24,18,33.5,27,251.88
25-02-2021,IN,New Delhi,temperature,24,16,33,21,303.53
16-03-2021,IN,New Delhi,temperature,24,19,31,24,169.42
23-04-2021,IN,New Delhi,temperature,24,23.5,31,25.5,57.82
28-01-2021,IN,New Delhi,temperature,23,7.5,19,11,161.73
27-01-2021,IN,New Delhi,temperature,24,7.5,20,11,190.54
15-02-2021,IN,New Delhi,temperature,24,11,29,20,405.8
21-03-2021,IN,New Delhi,temperature,24,18.5,34,26.5,302.61
02-01-2021,IN,New Delhi,temperature,24,9,19,13.5,95.8
11-01-2021,IN,New Delhi,temperature,24,7,16,10.5,98.55
04-01-2021,IN,New Delhi,temperature,24,13,20,16.5,71.96
30-01-2021,IN,New Delhi,temperature,24,6,20,11,217.93
22-02-2021,IN,New Delhi,temperature,24,13,28,18,305.32
26-02-2021,IN,New Delhi,temperature,24,15,31.5,23,342.49
22-01-2021,IN,New Delhi,temperature,24,8,17,11,106.67
22-03-2021,IN,New Delhi,temperature,24,22,31,26,96.36
08-04-2021,IN,New Delhi,temperature,24,22,34,27,174.56
16-02-2021,IN,New Delhi,temperature,19,13,29,18.5,332.02
10-01-2021,IN,New Delhi,temperature,24,8,14,11,34.11
09-03-2021,IN,New Delhi,temperature,24,21,34,24.5,213.58
09-01-2021,IN,New Delhi,temperature,24,11,19,14,67.37
03-03-2021,IN,New Delhi,humidity,24,17,82,52.5,4778.84
14-02-2021,IN,New Delhi,humidity,24,42,100,82,3800.42
28-03-2021,IN,New Delhi,humidity,23,-1753.1,82,38,1418040
05-02-2021,IN,New Delhi,humidity,24,46,100,81.5,2638.8
09-03-2021,IN,New Delhi,humidity,24,38,94,57,3521.37
20-03-2021,IN,New Delhi,humidity,24,19,82,45.5,3657.71
26-03-2021,IN,New Delhi,humidity,24,24,82,45.5,3613.24
09-04-2021,IN,New Delhi,humidity,24,7,42,20.5,1231.19
04-01-2021,IN,New Delhi,humidity,24,74.5,100,96.5,706.19
01-02-2021,IN,New Delhi,humidity,24,25,93,57.5,6385.43
05-03-2021,IN,New Delhi,humidity,24,38.5,93,56.5,2412.32
11-04-2021,IN,New Delhi,humidity,24,7,38.5,20,840.72
29-12-2020,IN,New Delhi,humidity,24,47,93,81,2713.22
28-01-2021,IN,New Delhi,humidity,23,39,93,78.5,4264.28
16-03-2021,IN,New Delhi,humidity,24,29,88,56.5,4391.3
11-02-2021,IN,New Delhi,humidity,24,51.5,100,87,2665.42
21-02-2021,IN,New Delhi,humidity,24,35,93,71.5,4207.97
06-04-2021,IN,New Delhi,humidity,24,15,43,24,644.98
18-04-2021,IN,New Delhi,humidity,24,17,60,30,2210.94
07-01-2021,IN,New Delhi,humidity,24,77,100,93,467.1
24-01-2021,IN,New Delhi,humidity,24,82,100,93,319.11
26-01-2021,IN,New Delhi,humidity,24,37,93,90,4685.61
29-03-2021,IN,New Delhi,humidity,24,17.5,57,33,1866.63
05-04-2021,IN,New Delhi,humidity,24,8,40,19,1069.23
